KoordID,x,y,whinchat,ptarmigan,dipper,elev.birds,prec.birds,temp.birds,est.slope,forest.edge.sum,forest.sum,grassland.sum,water.dist,buildings.sum
635246,635000,246000,0,0,0,430.899993896484,268.932070338848,18.9786018812067,6.13355147543517,15.13828125,32.39359375,10.3865625,0,145
635254,635000,254000,0,0,0,568.799987792969,371.303613628172,18.330775910091,1.47765191199168,17.8003125,20.28234375,17.925,8000,26
635262,635000,262000,0,0,0,537.599975585938,315.174592508543,18.5687269429408,3.45912742706428,20.7940625,35.25546875,24.7296875,4000,47
641102,641000,102000,0,1,1,2446.69995117188,288.015741117448,9.14106663571435,12.9874749046502,2.66890625,12.636875,35.62046875,0,2
641118,641000,118000,0,1,0,2501.10009765625,297.465066216018,8.12620572967311,12.4080411862696,0.40359375,1.11578125,50.8846875,6324.55532033676,2
641134,641000,134000,0,0,1,1475.19995117188,170.752856426768,14.0126757026777,19.4270221173185,16.35453125,49.3575,24.734375,3605.55127546399,54
641166,641000,166000,0,0,0,1578,450.49151482319,12.87228801416,29.0075486341425,17.52,44.31890625,48.4525,1000,20
641182,641000,182000,0,0,0,1408.5,557.263482192384,13.8838579784075,8.88859671260485,9.225,17.92015625,80.08265625,2000,0
641198,641000,198000,0,0,1,768.200012207031,380.865201429245,,1.70372732751566,18.469375,18.33484375,74.73734375,2000,21
641214,641000,214000,0,0,1,676.299987792969,430.552433667385,17.8020643306608,3.32348933616443,11.15734375,23.06453125,71.65609375,6324.55532033676,9
641230,641000,230000,0,0,0,469.5,333.596982480244,19.0588790740986,5.03835646981554,7.7490625,18.7946875,16.93109375,5830.9518948453,72
641246,641000,246000,0,0,0,376.5,296.843464410432,19.5685697257079,1.7168194433581,1.6778125,10.17546875,5.94515625,0,180
641254,641000,254000,0,0,0,764.700012207031,397.371994664347,17.2175678328234,4.83636766905707,16.7103125,84.01671875,12.58984375,5830.9518948453,24
641262,641000,262000,0,0,0,495.600006103516,301.641405433456,18.8560728114503,4.19025900653802,19.1315625,47.35765625,14.1890625,4472.13595499958,34
647110,647000,110000,0,1,0,2369.60009765625,268.713529819248,9.62604625399035,21.1806120435974,0.853125,2.7184375,54.220625,8602.32526704263,1
647126,647000,126000,0,0,0,1705.09997558594,306.186370032328,12.5920497814517,20.8207008063763,30.0084375,73.18265625,15.6846875,5000,16
647142,647000,142000,0,0,0,2184.19995117188,245.535516881303,9.81855092897216,11.0833290698786,0,0,19.05625,6324.55532033676,0
647174,647000,174000,0,0,0,1610.40002441406,540.310966456714,,22.5187397461926,33.41171875,43.15734375,50.10203125,2000,27
647190,647000,190000,0,0,0,1352.30004882812,613.587202240993,,10.1731733301716,25.67140625,63.4971875,29.91859375,3000,3
647206,647000,206000,0,0,1,638.099975585938,384.455081300345,18.1406815140806,2.15221772456905,14.52140625,16.08375,69.009375,0,45
647222,647000,222000,0,0,0,636.400024414062,479.094525603832,18.2392902480438,2.71600913206561,19.28328125,53.665,18.04265625,2236.06797749979,19
647238,647000,238000,0,0,1,538.5,395.505886798882,18.7424195648733,1.73053104662206,18.4390625,38.01015625,32.79484375,1000,65
647254,647000,254000,0,0,0,656.900024414062,393.70075935463,17.8625457125237,2.13608838974914,16.92625,44.328125,32.88703125,3000,22
